address,predicted_address,housenumber,street_number,street,locality/colony,area,city,postal_code,,outcome,,,,,,
"2542, Hudson Lane.",,,,,,,,,,FN,,,,,,
"268 F12, Haujrani malviya nagar Delhi","Malviya Nagar, New Delhi, Delhi 110017, India",,,,Malviya Nagar,South Delhi,New Delhi,110017,,TP,,,,,,
280/1 railway flats rani bagh Delhi-110034,"Rani Bagh, Shakurpur, New Delhi, Delhi 110034, India",,,,Shakurpur Rani Bagh,North West Delhi,New Delhi,110034,,TP,,,,,,
283 dda flat malviya nagar new delhi,"DDA Flats, Malviya Nagar, New Delhi, Delhi 110017, India",,,,Malviya Nagar DDA Flats,South Delhi,New Delhi,110017,,TP,,,,,,
"3/135 sunder vihar, paschim vihar","Near Telephone Exchange, Sunder Vihar, Paschim Vihar, Delhi, 110087, India",,,,,Delhi,110087,,,TP,,,,,,
"3/80, Azadgarh 3rd floor","3rd floor, 3/95/A, Azadgarh, Regent Park, Kolkata, West Bengal 700040, India",,3rd floor,,Regent Park Azadgarh,Kolkata,Kolkata,700040,,TP,,,,,,
36/26-27 himmat puri mayur vihar phase-1,"36/491, Block 36, Himmatpuri, Mayur Vihar Phase 1, New Delhi, Delhi 110091, India",,,,Mayur Vihar Phase 1 Himmatpuri,East Delhi,New Delhi,110091,,TP,,,,,,
4/9 ramesh nagar new delhi 110015,"4, 1/9, Ramesh Nagar Rd, Block 6A, Ramesh Nagar, New Delhi, Delhi 110015, India",,4 1/9,Ramesh Nagar Road,Ramesh Nagar Block 6A,West Delhi,New Delhi,110015,,TP,,,,,,
"40b / 2 new gobind pura, street no.13, krishna nagar, delhi -110051","40b/2 New Govind Pura street no. 13, krishna nagar, New Delhi, Delhi 110051, India",,,,,New Delhi,110051,,,TP,,,,,,
"41 Four storey flats, Vishal market ,Tagore garden","Tagore Garden, Tagore Garden Extension, New Delhi, Delhi 110027, India",,,,Tagore Garden Extension Tagore Garden,West Delhi,New Delhi,110027,,TP,,,,,,
424.AFNO Enclave,,,,,,,,,,FN,,,,,,
458/3 prem nagar 2 near main bus stand,,,,,,,,,,FN,,,,,,
"47 Amrit Nagar, South Ex-1, New Delhi-110003","Unnamed Road, Block K, साउथ एक्सटेंशन I, नई दिल्ली, दिल्ली 110049, India",,,Unnamed Road,साउथ एक्सटेंशन I Block K,साउथ ईस्ट दिल्ली,नई दिल्ली,110049,,TP,,,,,,
490 rishi nagar rani bagh,"681 Rishi Nagar , opp Arya Samaj Mandir Rani Bagh main Market Road, New Delhi, Delhi 110034, India",,,,,New Delhi,110034,,,TP,,,,,,
"5280 kolhapur house,chandraval road","5280, Kohlapur Rd, Jawahar Nagar, Kamla Nagar, Delhi, 110007, India",,5280,Kohlapur Road,Kamla Nagar Jawahar Nagar,North Delhi,Delhi,110007,,TP,,,,,,
6/19 sarva priya vihar,"6/4, Block 3, Sarvapriya Vihar, New Delhi, Delhi 110016, India",,,,Sarvapriya Vihar,South Delhi,New Delhi,110016,,TP,,,,,,
64-B/UA jawahar nagar new delhi-110007,"Jawahar Nagar, Kamla Nagar, Delhi, 110007, India",,,,Kamla Nagar Jawahar Nagar,North Delhi,Delhi,110007,,TP,,,,,,
"65/3 second floor ,masjid moth,south ex-2,new delhi-110049","Masjid Moth Village, South Extension II, New Delhi, Delhi 110049, India",,,,,New Delhi,110049,,,TP,,,,,,
"8/58 First Floor, Double Storey Vijaynagar, New Delhi","Double Storey, New Rajinder Nagar, New Delhi, Delhi, India",,,,New Rajinder Nagar,Central Delhi,New Delhi,,,TP,,,,,,
"81-B, Katwaria sarai, new delhi -16","Katwaria Sarai, New Delhi, Delhi 110016, India",,,,Katwaria Sarai,South West Delhi,New Delhi,110016,,TP,,,,,,
85/12chander nagar shastri park,"Metro Vihar, Shastri Park, Jagjit Nagar, Delhi, 110053, India",,,,Jagjit Nagar Shastri Park,North East Delhi,Delhi,110053,,TP,,,,,,
97d u&v block shalimar bagh new delhi,,,,,,,,,,FN,,,,,,
99 rajpura gurmndi,"Rajpura, Punjab 140401, India",,,,Patiala,Rajpura,140401,,,FP,,,,,,
a 42 ashok vihar phase 1 second floor new delhi 110052,"26, 3rd Floor, Phase 1, near Central Market, Ashok Vihar, New Delhi, Delhi 110052, India",,,,,New Delhi,110052,,,TP,,,,,,
"A-108 (Second floor) Freedom fighters Enclave, Near Saidulajab, Saket","Freedom Fighter Enclave, Pocket E, Neb Sarai, New Delhi, Delhi 110068, India",,,,Neb Sarai Neb Sarai,South Delhi,New Delhi,110068,,TP,,,,,,
"A-20, sector-48 ,noida","A20, Sector 60, Noida, Uttar Pradesh 201301, India",,,,,Noida,201301,,,TP,,,,,,
"A-200, vijay vihar, rohini, delho","A-200, Vijay vihar Phase I, Sector 5, Rohini, Delhi, 110085, India",,,,Rohini Sector 5,North West Delhi,Delhi,110085,,TP,,,,,,
"A-23, new india apartments, sector-8, rohini","Halar Rd, Rohini, Delhi, 110085, India",,,Halar Road,Rohini,North West Delhi,Delhi,110085,,TP,,,,,,
"A-3/12 ,1st Floor, Krishna Nagar","Krishna Nagar, New Delhi, Delhi 110051, India",,,,Krishna Nagar,East Delhi,New Delhi,110051,,TP,,,,,,
"A-75, ramchandra market, rajpur extention, chhatarpur, new delhi 110047","Unnamed Road, Rajpur Khurd Ext, Chhattarpur, New Delhi, Delhi 110030, India",,,Rajpur Khurd Extension,Chhattarpur,,New Delhi,110030,,TP,,,,,,
"A/23,saket","Saket, New Delhi, Delhi 110017, India",,,,Saket,South Delhi,New Delhi,110017,,TP,,,,,,
"A55, dayal bagh colony, faridabad","A55, Dayal Bagh Colony, Faridabad, Haryana 121009, India",,,,Dayal Bagh Colony,Faridabad,Faridabad,121009,,TP,,,,,,
A726 shastri nagar,,,,,,,,,,FN,,,,,,
AE 63 shalimar bagh,"5, AE Block, Poorbi Shalimar Bag, Shalimar Bagh, Delhi, 110088, India",,,,Shalimar Bagh Poorbi Shalimar Bag,New Delhi,Delhi,110088,,TP,,,,,,
"AL 101 Shalimar bagh, delhi","Shalimar Bagh, New Delhi, 110088, India",,,,,New Delhi,110088,,,TP,,,,,,
Amrapali sapphire noida,"Plot No:1, Sadarpur, Sector-45, Noida, Uttar Pradesh 201303, India",,Plot No:1,,Sector-45 Sadarpur,Gautam Buddh Nagar,Noida,201303,,TP,,,,,,
anhad niwas,,,,,,,,,,FN,,,,,,
arya pura subzi mandi,"Arya Pura, Subzi Mandi, New Delhi, Delhi 110007, India",,,,Subzi Mandi Arya Pura,North Delhi,New Delhi,110007,,TP,,,,,,
aryabhatt boys hostel,,,,,,,,,,FN,,,,,,
Ashok Vihar,"Ashok Vihar, New Delhi, Delhi, India",,,,Ashok Vihar,North West Delhi,New Delhi,,,TP,,,,,,
B 10 ARD Complex Rk Puram sector13,"B-16, ARD Complex, Sector 13, R K Puram Near Hanuman Mandir, Behind N Block, Multistory flats, New Delhi, Delhi 110066, India",,,,,New Delhi,110066,,,TP,,,,,,
B-1 299 Yamuna Vihar Delhi,"Yamuna Vihar, Shahdara, Delhi, 110053, India",,,,Shahdara Yamuna Vihar,North East Delhi,Delhi,110053,,TP,,,,,,
"b-1/348 , arawali apartments , sector 34, noida","Block B, Sector 34, Noida, Uttar Pradesh 201307, India",,,,Block B Block B,Gautam Buddha Nagar,Noida,201307,,TP,,,,,,
B-10 Dayal Bagh Colony Surajkund Faridabad,"B10, Dayal Bagh Colony, Faridabad, Haryana 121009, India",,,,Dayal Bagh Colony,Faridabad,Faridabad,121009,,TP,,,,,,
B-179/B GROUND FLOOR PANDAV NAGAR NEAR MOTHER DAIRY NEW DELHI 110092,"Pandav Nagar, New Delhi, Delhi, India",,,,Pandav Nagar,East Delhi,New Delhi,,,TP,,,,,,
"B-2/140 janakpuri, New delhi 110058","140, B-2 Rd, B2 Janakpuri, Block B2, Shiv Nagar, Janakpuri, New Delhi, Delhi 110058, India",,140,B-2 Road,Janakpuri Shiv Nagar,West Delhi,New Delhi,110058,,TP,,,,,,
B-2/19 Krishna Nagar New Delhi,"B-2, Sector B 1, Vasant Vihar, New Delhi, Delhi 110057, India",,,B-2,Vasant Vihar Sector B 1,New Delhi,New Delhi,110057,,FP,,,,,,
b-200 shivaji vihar,"Shivaji Vihar, Janta Colony, Tagore Garden Extension, Delhi, 110027, India",,,,Tagore Garden Extension Janta Colony,West Delhi,Delhi,110027,,TP,,,,,,
B-6 /110 sec. 4 rohini,"Rohini, New Delhi, Delhi, India",,,,Rohini,North West Delhi,New Delhi,,,TP,,,,,,
b-61 hastsal vihar near vasundhra public school uttam nagar new delhi,"Hastsal Vihar, Uttam Nagar, Delhi, 110059, India",,,,,Delhi,110059,,,TP,,,,,,
B4/22 Rohini Sec 17,"Sector 17, Rohini, Delhi, India",,,,Rohini Sector 17,North West Delhi,Delhi,,,TP,,,,,,
"C Hostel, room no: 328, NITC Hostel, Calicut, pin:673601","Kattangal, Kerala 673601, India",,,,Kozhikode,Kattangal,673601,,,TP,,,,,,
c-1059 tigri new delhi 110080,"New Delhi, Delhi 110080, India",,,,South Delhi,New Delhi,110080,,,TP,,,,,,
"C-117, mahendru enclave, delhi-33","C-49/B, Block C, 110009, Mahendru Enclave, Gujranwala Town, Delhi, 110033, India",,,,Gujranwala Town Mahendru Enclave,North West Delhi,Delhi,110033,,TP,,,,,,
C-160 Prashant Vihar,"Pvr Prashant Vihar Road, Prashant Vihar, Sector 14, Rohini, Delhi, 110085, India",,,Pvr Prashant Vihar Road,Rohini Sector 14,New Delhi,Delhi,110085,,TP,,,,,,
C-167 lajpat nagar-1,"Lajpat Nagar, New Delhi, Delhi, India",,,,Lajpat Nagar,South Delhi,New Delhi,,,TP,,,,,,
c-178 rohini sector 11,"Sector 11, Rohini, Delhi, 110085, India",,,,Rohini Sector 11,North West Delhi,Delhi,110085,,TP,,,,,,
"C-509,sector-19, Noida","C-135A, Sector 19 ,Near BSNL Telephone Exchange, Noida, Uttar Pradesh 201301, India",,,,,Noida,201301,,,TP,,,,,,
"C-62/B, Abul Fazal Enclave, Jamia Nagar, New Delhi-110025","C-62, Abul Fazal Enclave, Jamia Nagar, Okhla, New Delhi, Delhi 110025, India",,,,Okhla Jamia Nagar,South East Delhi,New Delhi,110025,,TP,,,,,,
"C-9/237, Sector 7, Rohini, New Delhi","Sector 7, Rohini, Delhi, 110085, India",,,,Rohini Sector 7,North West Delhi,Delhi,110085,,TP,,,,,,
c2 66 sector 33 noida,"Sector 33, Noida, Uttar Pradesh, India",,,,Sector 33,Gautam Buddh Nagar,Noida,,,TP,,,,,,
"C4, 43, Yamuna Vihar, New Delhi","C-4/125, Block C, Yamuna Vihar, Shahdara, Delhi, 110053, India",,,,Shahdara Yamuna Vihar,North East Delhi,Delhi,110053,,TP,,,,,,
D 155 rosewood city sector 50 gurgaon,"Rosewood City Rd, Rosewood City, Ghasola, Sector 49, Gurugram, Haryana 122018, India",,,Rosewood City Road,Sector 49 Ghasola,Gurgaon,Gurugram,122018,,TP,,,,,,
d 25 sector d lda colony kanpur road lucknow,"D-25, Sector D, LDA Colony, Lucknow, Uttar Pradesh 226012, India",,,,LDA Colony Sector D,Lucknow,Lucknow,226012,,TP,,,,,,
d-114 gali no-5 laxmi nagar,"D114, Gali No 5, Ganesh Nagar I South, South, Block D, Ganesh Nagar 1, Ganesh Nagar, New Delhi, Delhi 110092, India",,D114,Gali No 5,Ganesh Nagar Ganesh Nagar 1,East Delhi,New Delhi,110092,,TP,,,,,,
D-333 Tagore Garden EXTN. New Delhi-110027,"D333, Block BF, Tagore Garden, Tagore Garden Extension, New Delhi, Delhi 110027, India",,,,,New Delhi,110027,,,TP,,,,,,
"D-38, Delta1. Greater Noida. GB Nagar , 201308","Delta I, Greater Noida, Uttar Pradesh 201308, India",,,,Delta I,Gautam Buddh Nagar,Greater Noida,201308,,TP,,,,,,
"d-57 , phase-4, aya nagar , New delhi",,,,,,,,,,FN,,,,,,
D-73 east of kailash new delhi 110065,"Plot No.D 52, East Of Kailash, Near Sapna Cinema, Delhi, 110065, India",,,,,Delhi,110065,,,TP,,,,,,
"dadri, gautam buddh nagar","Dadri, Uttar Pradesh, India",,,,Gautam Buddh Nagar,Dadri,,,,TP,,,,,,
dasna ghaziabad,"Dasna, Uttar Pradesh 201015, India",,,,Ghaziabad,Dasna,201015,,,TP,,,,,,
Dehradun,"Dehradun, Uttarakhand, India",,,,Dehradun,Dehradun,,,,TP,,,,,,
delhi,"Delhi, India",,,,,Delhi,,,,TP,,,,,,
dg2-/99-D vikas puri new delhi,"Pocket DG 2, Vikaspuri, Delhi, 110018, India",,,,Vikaspuri Pocket DG 2,West Delhi,Delhi,110018,,TP,,,,,,
dwarka,"Dwarka, Gujarat, India",,,,Jamnagar,Dwarka,,,,TP,,,,,,
"Dwarka, New delhi","Dwarka, New Delhi, Delhi, India",,,,Dwarka,South West Delhi,New Delhi,,,TP,,,,,,
"E-323,Mandir Marg East, Babarpur Shahdra,Delhi","East Babarpur, Chhajjupur, Babarpur, Delhi, 110032, India",,,,Babarpur Chhajjupur,North East Delhi,Delhi,110032,,TP,,,,,,
E-51 mansarover garden,"Mansarover Garden, New Delhi, Delhi 110015, India",,,,Mansarover Garden,West Delhi,New Delhi,110015,,TP,,,,,,
"E-519, GC Centrum, Ahinsa Khand 2, Indirapuram, Ghaziabad, Uttar Pradesh. Pincode - 201014","Plot No.7, Mall Rd, Near Shanti Gopal Hospital, Ahinsa Khand 2, Indirapuram, Ghaziabad, Uttar Pradesh 201014, India",,,,Indirapuram Ahinsa Khand 2,,Ghaziabad,201014,,TP,,,,,,
"E/226,sec 27,noida","Sector 27, Noida, Uttar Pradesh 201301, India",,,,Sector 27,Gautam Buddh Nagar,Noida,201301,,TP,,,,,,
East delhi geeta colony,"Geeta Colony, New Delhi, Delhi, India",,,,Geeta Colony,East Delhi,New Delhi,,,TP,,,,,,
f-125b lado sarai new delhi 110030,"F 125, Lado Sarai, New Delhi, Delhi 110030, India",,,,,New Delhi,110030,,,TP,,,,,,
"F-287,Karampura","Karam Pura, New Delhi, Delhi, India",,,,Karam Pura,West Delhi,New Delhi,,,TP,,,,,,
f-54  kamla nagar,"Kamla Nagar, New Delhi, Delhi 110007, India",,,,Kamla Nagar,North Delhi,New Delhi,110007,,TP,,,,,,
"F34 krishnagali, kotla mubarakpur, gurudwara road,  south ex 1, New Delhi 110003 (near Axis Bank ATM)","13-1, Gurudwara Rd, Block C, South Extension I, New Delhi, Delhi 110049, India",,13-1,Gurudwara Road,South Extension I Block C,South Delhi,New Delhi,110049,,TP,,,,,,
"flat no 1299 , sanskriti appartment rohini sector 28","Flat No. 370, GH 4, Pocket GH1, Sector 28, Rohini, Delhi 110089, India",,,,Rohini Sector 28,,,110089,,TP,,,,,,
flat number 15 west enclave jeevan anand society,"Block C1, West Enclave, Pitampura, Delhi, 110034, India",,,,Pitampura West Enclave,North West Delhi,Delhi,110034,,TP,,,,,,
"Gahlot niwas, flat no.2, floor no.3, near metro poll no. 886, dwarka sector 14.","Sector 14 Dwarka, Kakrola, Delhi, India",,,,Kakrola Sector 14 Dwarka,South West Delhi,Delhi,,,TP,,,,,,
gh14/735 paschim vihar,"GH-14 Park - Paschim Vihar, Nangloi Saiyed Rd, GH 14, Block GH 14, Paschim Vihar, New Delhi, Delhi 110087, India",,,Nangloi Saiyed Road,Paschim Vihar Block GH 14,West Delhi,New Delhi,110087,,TP,,,,,,
greater moida,"Greater Noida, Uttar Pradesh, India",,,,Gautam Buddh Nagar,Greater Noida,,,,TP,,,,,,
"gt road shahdara,Delhi-32","32, GT Road, Block E, Jeevan Sarita, Chikamberpur, Delhi, 110095, India",,32,Grand Trunk Road,Chikamberpur Jeevan Sarita,East Delhi,Delhi,110095,,TP,,,,,,
gurgaon,"Gurugram, Haryana, India",,,,Gurgaon,Gurugram,,,,TP,,,,,,
"h. no. 85,sarai jullena,near escort hospital,N D -25","2/10, Near Escort's Heart Institute and Holy Family Hospital, Sarai Jullena, New Friends Colony, New Delhi, Delhi 110025, India",,,,New Friends Colony Sarai Jullena,South Delhi,New Delhi,110025,,TP,,,,,,
H. No.865 Street no 13 Mandoli Extn. New Delhi 110093,"H. No, 13/701, Mandoli Ext Rd, Mandoli Extension, Village Mandoli, Delhi, 110093, India",,H. No 13/701,Mandoli Extension Road,Village Mandoli Mandoli Extension,Shahdara,Delhi,110093,,TP,,,,,,
"h.no 135,near shiv mandir and panchayat bhavan,v.p.o molahera,gurgaon,haryana","62, Major Sushil Aima Marg, Sector 23, Gurugram, Haryana 122022, India",,62,Major Sushil Aima Marg,Sector 23,Gurgaon,Gurugram,122022,,TP,,,,,,
h.no1-36/1/12/144 reddy colony chandanagar hyderababd,"36, 17-1-382/SN/51, Reddy Colony, Saraswathi Nagar, Saroor Nagar West, Saroornagar, Hyderabad, Telangana 500059, India",,36,,Saroornagar Saroor Nagar West,Hyderabad,Hyderabad,500059,,TP,,,,,,
"H/no.88, Rehyashi apartments, Dwarka Sector 12","110078, Pocket 7, Sector 12 Dwarka, Dwarka, New Delhi, Delhi, India",,,,Dwarka Sector 12 Dwarka,South West Delhi,New Delhi,,,TP,,,,,,
hansraj college hostel,"Hansraj College, Delhi, 110001, India",,,,East Delhi,Delhi,110001,,,TP,,,,,,
hauz khaas,"Hauz Khas, New Delhi, Delhi, India",,,,Hauz Khas,South Delhi,New Delhi,,,TP,,,,,,
hazaribag,"Hazaribagh, Jharkhand, India",,,,Hazaribagh,Hazaribagh,,,,TP,,,,,,
"Hno-1545, first floor back side, gate no-03, block- A, Greenfields colony, near crown interiorz mall, Faridabad, Haryana","Greenfields, Sector 42, Faridabad, Haryana 121003, India",,,,Sector 42 Greenfields,Faridabad,Faridabad,121003,,TP,,,,,,
"hno. 208 sector-17, faridabad, haryana","208, Sector 17, Faridabad, Haryana 121002, India",,,,Sector 17,Faridabad,Faridabad,121002,,TP,,,,,,
homehome,,,,,,,,,,TN,,,,,,
house #2039 sector 4 gurgaon haryana,"3768 Cr 5250, Independence, KS 67301, USA",,3768,Cr 5250,Montgomery County,Independence,67301,,,FP,,,,,,
House no 213 gali no 3 Govindpur Kalkaji,"213, Gali Number 3, Govindpuri, New Delhi, Delhi 110019, India",,213,Gali Number 3,Govindpuri,South Delhi,New Delhi,110019,,TP,,,,,,
House no 313 sector 12a,"313, Sector 12-A, Panchkula, Haryana 134109, India",,,,Sector 12-A,Panchkula,Panchkula,134109,,TP,,,,,,
"house number 386, sector 15 part 1 ,Gurgaon","house number 386, 15, Sector Rd, Block F, South City I, Sector 41, Gurugram, Haryana 122009, India",,house number 386 15,Sector Road,Sector 41 South City I,Gurgaon,Gurugram,122009,,TP,,,,,,
I-131-d laxminagar lalitapark gali no. 9,"Gali Number 9, Lalita Park, Laxmi Nagar, New Delhi, Delhi 110092, India",,,Gali Number 9,Laxmi Nagar Lalita Park,East Delhi,New Delhi,110092,,TP,,,,,,
"I-24, kirti nagar","Kirti Nagar, New Delhi, Delhi, India",,,,Kirti Nagar,West Delhi,New Delhi,,,TP,,,,,,
IHE,"820 Jorie Blvd, Oak Brook, IL 60523, USA",,820,Jorie Boulevard,DuPage County,Oak Brook,60523,,,TP,,,,,,
"IMT campus, SRM university, modi nagar, ghaziabad, UP","DELHI NCR CAMPUS, Modinagar, Ghaziabad, Uttar Pradesh 201204, India",,,,,Ghaziabad,201204,,,TP,,,,,,
J & K Extension Laxmi Nagar Delhi-110092,"610 Bridge St, Humboldt, KS 66748, USA",,610,Bridge Street,Allen County,Humboldt,66748,,,FP,,,,,,
"J-24, South Extension Part-1, ND-110049","C-24, Pilanji, South Extension I, New Delhi, Delhi 110003, India",,,,South Extension I,South East Delhi,New Delhi,110003,,TP,,,,,,
j-61 ashok vihar phase 1 delhi 110052,"61, Ashok Vihar Phase 1 Rd, Pocket H, Phase 1, Ashok Vihar, Delhi, 110052, India",,61,Ashok Vihar Phase 1 Road,Ashok Vihar Phase 1,North West Delhi,Delhi,110052,,TP,,,,,,
"J82, 2F, Lane no 4, Laxmi Nagar, East Delhi, 110092","Primary School Block, Mandawali, New Delhi, Delhi 110092, India",,,Primary School Block,Mandawali,East Delhi,New Delhi,110092,,TP,,,,,,
"jwalamukhi house, iit delhi","Indian Institute of Technology, New Delhi, Delhi 110016, India",,,,South West Delhi,New Delhi,110016,,,TP,,,,,,
kablana,"Kablana, Haryana 124104, India",,,,Jhajjar,Kablana,124104,,,TP,,,,,,
kailash hills,"Kailash Hills, East of Kailash, New Delhi, Delhi 110065, India",,,,East of Kailash Kailash Hills,South Delhi,New Delhi,110065,,TP,,,,,,
kalkaji,"Ma Anandmayee Marg, NSIC Estate, Block 9, Kalkaji, New Delhi, Delhi 110019, India",,,Ma Anandmayee Marg,Kalkaji Block 9,South East Delhi,New Delhi,110019,,TP,,,,,,
"Kamla Nagar, New Delhi","Kamla Nagar, New Delhi, Delhi 110007, India",,,,Kamla Nagar,North Delhi,New Delhi,110007,,TP,,,,,,
Kaushambi,"Kaushambi, Uttar Pradesh, India",,,,Kaushambi,,,,,TP,,,,,,
lajpat nagar,"Lajpat Nagar, New Delhi, Delhi, India",,,,Lajpat Nagar,South Delhi,New Delhi,,,TP,,,,,,
laxmi nagar,"Laxmi Nagar, Block S1, Nanakpura, Shakarpur, New Delhi, Delhi 110092, India",,,,Shakarpur Nanakpura,East Delhi,New Delhi,110092,,TP,,,,,,
laxmi nagar delhi,"Laxmi Nagar, Block S1, Nanakpura, Shakarpur, New Delhi, Delhi 110092, India",,,,Shakarpur Nanakpura,East Delhi,New Delhi,110092,,TP,,,,,,
lodhi road,"Lodhi Rd, New Delhi, Delhi, India",,,Lodhi Road,,New Delhi,,,,TP,,,,,,
M-145 Laxmi nagar Opp. church,,,,,,,,,,FN,,,,,,
maansrover colony bulandshahr,"Mansarovar Colony, Amba Enclave, Bulandshahr, Uttar Pradesh 203001, India",,,,Amba Enclave,Bulandshahar,Bulandshahr,203001,,TP,,,,,,
Madangiri,"Madangir, New Delhi, Delhi 110062, India",,,,Madangir,South Delhi,New Delhi,110062,,TP,,,,,,
Madhu Vihar,"Madhu Vihar, I.P.Extension, Patparganj, Delhi, 110092, India",,,,Patparganj I.P.Extension,East Delhi,Delhi,110092,,TP,,,,,,
mahipalpur,"Mahipalpur, New Delhi, Delhi, India",,,,Mahipalpur,South West Delhi,New Delhi,,,TP,,,,,,
mangalore,"Mangaluru, Karnataka, India",,,,Dakshina Kannada,Mangaluru,,,,TP,,,,,,
Meerut,"Meerut, Uttar Pradesh, India",,,,Meerut,Meerut,,,,TP,,,,,,
"National Law University Delhi, Dwarka Sector 14, Delhi 110078","Sector 14, Dwarka, New Delhi, Delhi 110078, India",,,,,New Delhi,110078,,,TP,,,,,,
nehru vihar,"Nehru Vihar, Mukherjee Nagar, Delhi, India",,,,Mukherjee Nagar Nehru Vihar,North Delhi,Delhi,,,TP,,,,,,
Neta ji nagar,"Netaji Nagar, Tufanganj, West Bengal 736159, India",,,,Cooch Behar,Tufanganj,736159,,,TP,,,,,,
New Delhi,"New Delhi, Delhi, India",,,,,New Delhi,,,,TP,,,,,,
"NIT Delhi, Narela, Delhi","A-7, Institutional Area, Near Satyawadi Raja Harish Chandra Hospital, Narela, Delhi, 110040, India",,,,,Delhi,110040,,,TP,,,,,,
"NIT Delhi, Narela, New Delhi","A-7, Institutional Area, Near Satyawadi Raja Harish Chandra Hospital, Narela, Delhi, 110040, India",,,,,Delhi,110040,,,TP,,,,,,
nizamuddin,"Nizamuddin, Humayun's Tomb, Nizamuddin West, New Delhi, Delhi, India",,,,Nizamuddin West Humayun's Tomb,South Delhi,New Delhi,,,TP,,,,,,
Noida,"Noida, Uttar Pradesh, India",,,,Gautam Buddh Nagar,Noida,,,,TP,,,,,,
Noida Sec-125,"Sector 125, Noida, Uttar Pradesh 201313, India",,,,Sector 125,Gautam Buddh Nagar,Noida,201313,,TP,,,,,,
